title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Wonder Woman: The Greatest Stories Ever Told,1401212166,9781401212162,4.61,3.99,2,10.6
The Muppets Omnibus,785187928,9780785187929,18.51,3.94,2,24.45
Presenting Data Effectively: Communicating Your Findings for Maximum Impact,1506353126,9781506353128,N/A,N/A,N/A,N/A
Brochert's Crush Step 2: The Ultimate USMLE Step 2 Review,1455703117,9781455703111,8.41,3.99,2,14.4
PHR/SPHR Professional in Human Resources Certification Practice Exams (All-in-One),71840915,9780071840910,3.5,3.99,2,9.49
"Green Lantern Archives, The - Volume 2 (Archive Editions (Graphic Novels))",1563895668,9781563895661,11.5,3.99,2,17.49
Mayo Clinic Internal Medicine Board Review (Mayo Clinic Scientific Press),190464860,9780190464868,70.34,3.99,2,76.33
"1,001 Series 7 Exam Practice Questions For Dummies",1118885740,9781118885741,14.16,3.99,2,20.15
Certified Management Accountant Exam Secrets Study Guide: CMA Test Review for the Certified Management Accountant Exam,1609714083,9781609714086,63.99,0,2,65.99
Step-Up to USMLE Step 1 2015,1469894696,9781469894690,13.5,4.49,2,19.99
Master the Boards: Pediatrics,1609788796,9781609788797,189.79,0,2,191.79
"Kaplan PCAT 2015-2016 Strategies, Practice, and Review with 2 Practice Tests: Book + Online (Kaplan Test Prep)",1618658883,9781618658883,2.53,3.99,2,8.52
Step-Up to Medicine (Step-Up Series) 3rd EDITION,1609133609,9781609133603,4.31,4.49,2,10.8
"CMA Part 1 - Financial Reporting, Planning, Performance, and Control Exam Flashcard Study System: CMA Test Practice Questions & Review for the Certified Management Accountant Exam (Cards)",1609714172,9781609714178,43.99,0,2,45.99
USMLE Step 3 White Coat Pocket Guide (Kaplan Medical USMLE),1607144840,9781607144847,9.72,3.99,2,15.71
Electricity and Magnetism,1107014026,9781107014022,44.65,6.21,2,52.86
Modern Electrodynamics,521896975,9780521896979,51.99,3.99,2,57.98
Engineering Magnetohydrodynamics (Dover Civil and Mechanical Engineering),486450325,9780486450322,14.25,3.99,2,20.24
Superconducting Magnets (Monographs on Cryogenics),198548109,9780198548102,43.89,3.99,2,49.88
Mathematica for Theoretical Physics: Classical Mechanics and Nonlinear Dynamics,387016740,9780387016740,35.77,3.99,2,41.76
Electromagnetism: Problems with Solutions,8120346335,9788120346338,27.93,3.99,2,33.92
Magnetic Actuators and Sensors,1118505255,9781118505250,127.69,3.99,2,133.68
E&M TIPERs: Electricity & Magnetism Tasks,131854992,9780131854994,26.46,3.99,2,32.45
Magnetism and Transition Metal Complexes (Dover Books on Chemistry),486462846,9780486462844,9.24,3.99,2,15.23
Engineering Electromagnetic Fields and Waves,471098795,9780471098799,6.66,4.49,2,13.15
Magnetic Particle Testing: Classroom Training Book,1571171185,9781571171184,22.5,3.99,2,28.49
"Glencoe Physical iScience Modules: Electricity and Magnetism, Grade 8, Student Edition (GLEN SCI: ELECTRICITY/MAGNETIS)",78617731,9780078617737,4.7,3.99,2,10.69
Berkeley Physics Course: Electricity and Magnetism v. 2,70664951,9780070664951,14.98,3.99,2,20.97
Social and Personality Development,495600385,9780495600381,45.3,3.99,2,51.29
Lives Across Cultures: Cross-Cultural Human Development (5th Edition),205841740,9780205841745,12.88,0,2,14.88
Developmental Psychology (Critical Thinking in Psychology Series),857252763,9780857252760,17.6,3.99,2,23.59
The Mind's Machine,1605352764,9781605352763,71.0,3.99,2,76.99
Lifespan Development: Infancy Through Adulthood (PSY 232 Developmental Psychology),618721568,9780618721566,18.37,5.38,2,25.75
Psychology Applied to Modern Life: Adjustment in the 21st Century (MindTap Course List),1305968476,9781305968479,119.9,3.99,2,125.89
Developmental Disabilities: Introduction to a Diverse Field,205322069,9780205322060,10.28,3.99,2,16.27
Human Learning (6th Edition),132595184,9780132595186,19.93,3.99,2,25.92
Psychology Applied to Modern Life: Adjustment in the 21st Century (PSY 103 Towards Self-Understanding),1111186634,9781111186630,2.32,3.99,2,8.31
The Development of Children,1429243287,783324843736,21.94,0,2,23.94
"The Oxford Handbook of Deaf Studies, Language, and Education, Volume 2 (Oxford Library of Psychology)",195390032,9780195390032,99.99,3.99,2,105.98
Introduction to Family Processes: Fifth Edition,1841697613,9781841697611,28.0,3.99,2,33.99
Human Aging,205544010,9780205544011,4.96,5.99,2,12.95
The Mathematics of Games: An Introduction to Probability (Textbooks in Mathematics),1482235439,9781482235432,61.84,0,2,63.84
Goedel's Way: Exploits into an undecidable world,415690854,9780415690850,18.91,3.99,2,24.9
A Cultural History of Physics,1568813295,9781568813295,170.22,4.49,2,176.71
Crafting by Concepts: Fiber Arts and Mathematics,1568814356,9781568814353,26.47,3.99,2,32.46
Logical Labyrinths,1568814437,9781568814438,14.84,0,2,16.84
AHA! Solutions (MAA Problem Book Series),883858290,9780883858295,22.97,3.99,2,28.96
Principles of Operations Management: Sustainability and Supply Chain Management (10th Edition),134181980,9780134181981,107.99,4.99,2,114.98
Small Business: An Entrepreneur's Business Plan,1285169956,9781285169958,19.09,4.15,2,25.24
"Law, Business and Society",78023866,9780078023866,82.99,3.99,2,88.98
Principles of Business (DECA),1111426945,9781111426941,4.17,3.99,2,10.16
"Business Law Today, Standard: Text and Summarized Cases (Miller Business Law Today Family)",1133273564,9781133273561,19.99,3.99,2,25.98
Business Management,1111571724,9781111571726,21.66,3.99,2,27.65
Business Law with UCC Applications,77733738,9780077733735,64.62,4.65,2,71.27
Cross-cultural management textbook: Lessons from the world leading experts in cross-cultural management,1479159689,9781479159680,25.0,3.99,2,30.99
"Origami 5: Fifth International Meeting of Origami Science, Mathematics, and Education",1568817142,9781568817149,58.78,0,2,60.78
Cengage Advantage Books: Fundamentals of Business Law: Summarized Cases,1111530629,9781111530624,24.77,6.1,2,32.87
"How to Fold It: The Mathematics of Linkages, Origami, and Polyhedra",521145473,9780748794973,23.46,0,2,25.46
Contemporary Management,1259732665,9781259732669,161.24,6.12,2,169.36
"Essentials of Statistics for Business and Economics, Revised (with Essential Textbook Resources Printed Access Card)",1111533849,9781111533847,2.81,3.99,2,8.8
