title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Business Intelligence Roadmap: The Complete Project Lifecycle for Decision-Support Applications,201784203,9780201784206,14.0,3.99,2,19.99
Operations and Supply Chain Management: The Core (Book Only) (The Mcgraw-hill/Irwin Series Operations and Decision Sciences),73525235,9780073525235,10.86,5.04,2,17.9
Project Management Case Studies,1119385970,9781119385974,28.59,3.99,2,34.58
Maras: Gang Violence and Security in Central America,292729286,9780292729285,8.94,3.99,2,14.93
PHR/SPHR Professional in Human Resources Certification Practice Exams (All-in-One),71840915,9780071840910,3.5,3.99,2,9.49
History of the Mafia,231131356,9780231131353,4.43,3.98,2,10.41
Prisoners of Conscience: Moral Vernaculars of Political Agency (Studies in Rhetoric / Communication),1611174384,9781611174380,15.09,3.99,2,21.08
Facilities Planning,470444045,9780470444047,48.0,3.99,2,53.99
Designing and Managing the Supply Chain 3e with Student CD,73341525,9780073341521,32.86,5.82,2,40.68
"The Wiley Guide to Project, Program, and Portfolio Management",470226854,9780470226858,4.05,3.99,2,10.04
"Five Families: The Rise, Decline, and Resurgence of America's Most Powerful Mafia Empires",312361815,9780312361815,2.23,4.49,2,8.72
Work Breakdown Structures: The Foundation for Project Management Excellence,470177128,9780470177129,32.96,3.99,2,38.95
Managing and Leading Software Projects,470294558,9780470294550,17.7,3.99,2,23.69
The PMI-ACP Exam: How To Pass On Your First Try (Test Prep series),982760833,9780982760833,29.05,3.99,2,35.04
"Risk Management: Concepts and Guidance, Fifth Edition",1482258455,9781482258455,32.66,3.99,2,38.65
"Estimating Software-Intensive Systems: Projects, Products, and Processes",201703122,9780201703122,24.79,3.99,2,30.78
PMP Project Management Professional Exam Certification Kit,1118093909,9781118093900,13.61,3.79,2,19.4
PMP Exam Practice Test and Study Guide (ESI International Project Management Series),1482202247,9781482202243,39.99,3.99,2,45.98
PMP Exam Challenge! (ESI International Project Management Series),1466599820,8601400056530,18.26,3.99,2,24.25
Engineering Your Future: A Brief Introduction to Engineering,190279338,9780190279332,33.0,3.99,2,38.99
Fundamentals of Radiation Materials Science: Metals and Alloys,1493934368,9781493934362,56.69,3.69,2,62.38
Atomic Accidents: A History of Nuclear Meltdowns and Disasters: From the Ozark Mountains to Fukushima,1605986801,9781605986807,7.44,3.99,2,13.43
Introduction to Nuclear Engineering (4th Edition),134570057,9780134570051,189.94,3.99,2,195.93
"Nuclear Energy: An Introduction to the Concepts, Systems, and Applications of Nuclear Processes",124166547,9780124166547,44.88,3.99,2,50.87
"Quantum Chromodynamics at High Energy (Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology)",521112575,9780521112574,107.02,3.99,2,113.01
Nuclear Engineering Theory and Technology of Commercial Nuclear Power,894484583,9780894484582,98.6,3.99,2,104.59
Being Nuclear: Africans and the Global Uranium Trade (The MIT Press),262526867,9780262526869,11.99,3.99,2,17.98
"Nuclear Energy: Principles, Practices, and Prospects",387207783,9780387207780,13.88,4.49,2,20.37
Searching for Safety [Social Philosophy & Policy Center],912051183,9780912051185,39.95,4.97,2,46.92
The Physics of the Manhattan Project,3662435322,9783662435328,43.75,0,2,45.75
"The Firecracker Boys: H-Bombs, Inupiat Eskimos, and the Roots of the Environmental Movement",465003486,9780465003488,6.71,3.99,2,12.7
Weak Interactions and Modern Particle Theory (Dover Books on Physics),486469042,9780486469041,8.0,4.77,2,14.77
Not Gay: Sex between Straight White Men (Sexual Cultures),1479825174,9781479825172,16.08,3.99,2,22.07
Energy for Future Presidents: The Science Behind the Headlines,393345106,9780393345100,2.89,3.99,2,8.88
My New Gender Workbook: A Step-by-Step Guide to Achieving World Peace Through Gender Anarchy and Sex Positivity,415538653,9780415538657,17.85,3.99,2,23.84
Zami: A New Spelling of My Name - A Biomythography (Crossing Press Feminist Series),895941228,9780895941220,4.89,4.35,2,11.24
Foundations in Applied Nuclear Engineering Analysis,9812837760,9789812837769,24.0,3.99,2,29.99
Radical Love: Introduction to Queer Theology,1596271329,9781596271326,10.08,3.99,2,16.07
The Routledge Queer Studies Reader (Routledge Literature Readers),415564115,9780415564113,36.59,3.99,2,42.58
"Multiculturalism, Crime, and Criminal Justice",190642637,9780190642631,95.84,3.99,2,101.83
Transgender 101: A Simple Guide to a Complex Issue,231157134,9780231157131,9.16,3.99,2,15.15
Excitable Speech: A Politics of the Performative,415915880,9780415915885,24.56,3.99,2,30.55
The Essential Dykes to Watch Out For,618968806,9780618968800,11.38,5.09,2,18.47
Introducing the New Sexuality Studies,1138902942,9781138902947,28.28,3.99,2,34.27
"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890-1940",465026214,8601404818592,8.77,3.99,2,14.76
"Sex For Sale: Prostitution, Pornography, and the Sex Industry",415996058,9780415996051,30.26,3.99,2,36.25
The Gendered Society Reader,199927499,9780199927494,14.83,3.99,2,20.82
Ain't Gonna Let Nobody Turn Me Around: Forty Years of Movement Building with Barbara Smith (SUNY series in New Political Science),1438451148,9781438451145,11.93,3.99,2,17.92
Introduction to Programming Using Visual Basic (10th Edition),134542789,9780134542782,76.3,3.99,2,82.29
Starting Out With Visual Basic (7th Edition),134400151,9780134400150,88.39,3.99,2,94.38
Programming with Microsoft Visual Basic 2017,1337102121,9781337102124,143.13,0,2,145.13
Clearly Visual Basic: Programming with Microsoft Visual Basic 2012,1285084101,9781285084107,50.94,3.99,2,56.93
Programming in Visual Basic 2010,73517259,9780073517254,2.35,4.99,2,9.34
Visual Basic 2012 How to Program (6th Edition),133406954,9780133406955,23.56,3.99,2,29.55
Murach's ASP.NET 4.5 Web Programming with VB 2012 (Training & Reference),1890774766,9781890774769,20.0,5.79,2,27.79
Microsoft Visual Basic 6.0 Deluxe Learning Edition,1572318732,9781572318731,30.0,3.99,2,35.99
"Programming with Visual Basic 6.0, Enhanced Edition",619062045,9780619062040,4.99,0,2,6.99
Programming Home Projects with Microsoft Small Basic,1937161390,9781937161392,83.89,8.16,2,94.05
Soliman's Auricular Therapy Textbook: New Localizations and Evidence Based Therapeutic Approaches,1434328597,9781434328595,102.46,3.99,2,108.45
Programming in Visual Basic 2010: The Very Beginner's Guide,521721113,9780521721110,1.5,3.97,2,7.47
"Microsoft Visual Basic 2017 for Windows, Web, and Database Applications: Comprehensive (Shelly Cashman)",1337102113,9781337102117,109.95,3.99,2,115.94
Structured Finance Modeling with Object-Oriented VBA,470098597,9780470098592,27.23,3.99,2,33.22
Advanced Programming Using Visual Basic 2008,73517224,9780073517223,1.83,3.99,2,7.82
Sexuality Counseling: An Integrative Approach,131710524,9780131710528,599.99,3.99,2,605.98
Reconstructing Gender: A Multicultural Anthology,73380067,9780073380063,6.67,3.99,2,12.66
"Women, Men, and Society (6th Edition)",205459595,9780205459599,29.96,4.64,2,36.6
"Taking Charge of Your Fertility, 10th Anniversary Edition: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",60881909,9780060881900,1.4,3.99,2,7.39
"Principles and Practice of Sex Therapy, Fifth Edition",1462513670,9781462513673,56.51,3.99,2,62.5
Human Sexuality: Personality and Social Psychological Perspectives,1412904838,9781412904834,23.07,3.99,2,29.06
"The Ethical Slut: A Practical Guide to Polyamory, Open Relationships & Other Adventures",1587613379,8580001051055,14.26,4.49,2,20.75
"Enhancing Sexuality: A Problem-Solving Approach to Treating Dysfunction, Workbook Workbook (Treatments That Work)",195315081,9780195315080,25.99,3.98,2,31.97
The Psychology of Human Sexuality,1119164737,1119164737,38.41,3.99,2,44.4
Sexual Health: A Public Health Perspective (Understanding Public Health),335244815,9780335244812,36.24,3.99,2,42.23
"Human Sexuality Today, VangoBooks (6th Edition)",136042457,9780136042457,99.99,0,2,101.99
King Kong Theory,1558616578,9781558616578,9.32,3.99,2,15.31
Human Geography: Places and Regions in Global Context (7th Edition),321984242,9780321984241,83.47,3.99,2,89.46
The Lord of the Rings and The Hobbit (Cliffs Notes),822012863,9780822012863,0.99,3.99,2,6.98
"Teaching U.S. History Beyond the Textbook: Six Investigative Strategies, Grades 5-12",1412966213,9781412966214,11.02,3.99,2,17.01
Breaking Away from the Textbook: A Creative Approach to Teaching American History,1578862930,9781578862931,19.55,3.99,2,25.54
"Astrofuturism: Science, Race, and Visions of Utopia in Space",812218477,9780812218473,16.28,3.99,2,22.27
Philosophy Through Science Fiction: A Coursebook with Readings,415957559,9780415957557,23.93,3.99,2,29.92
The Americans: Teacher Edition Survey 2012,547491204,9780547491202,32.95,3.99,2,38.94
United States History Independence to 1914: California Teacher's Edition,30412242,9780030412240,30.0,3.99,2,35.99
The Cambridge Companion to Science Fiction (Cambridge Companions to Literature),521016576,9780521016575,21.73,4.49,2,28.22
The Longman Masters of Short Fiction,321089006,9780321089007,1.99,3.99,2,7.98
"War Terrible War Middle/High School Teaching Guide, A History of US: Teaching Guide pairs with A History of US: Book Six",195188918,9780195188912,13.99,3.99,2,19.98
Time Travel: A Writer's Guide to the Real Science of Plausible Time Travel,1421400820,9781421400822,8.85,3.99,2,14.84
Rhetorics of Fantasy,819568686,9780819568687,11.0,3.99,2,16.99
"Of Bread, Blood and the Hunger Games: Critical Essays on the Suzanne Collins Trilogy (Critical Explorations in Science Fiction and Fantasy)",786470194,9780786470198,5.49,0,2,7.49
World History: Medieval and Early Modern Times (California Teacher's Edition),618532951,9780618532957,21.94,6.79,2,30.73
"Vader, Voldemort and Other Villains: Essays on Evil in Popular Media",786458453,9780786458455,30.29,3.99,2,36.28
The Atmosphere: An Introduction to Meteorology (14th Edition),134758587,9780134758589,188.76,3.99,2,194.75
Critical Theory and Science Fiction,819563994,9780819563996,7.22,3.99,2,13.21
Social Studies in Elementary Education (14th Edition),137034253,9780137034253,20.0,6.98,2,28.98
Science Fiction (The New Critical Idiom),415366682,9780415366687,0.9,4.72,2,7.62
"Social Studies in Elementary Education, Enhanced Pearson eText with Loose-Leaf Version -- Access Card Package (15th Edition) (What's New in Curriculum & Instruction)",134043154,9780134043159,79.99,4.99,2,86.98
CliffsNotes on Science Fiction: An Introduction,822011697,9780822011699,3.33,3.99,2,9.32
Science Fiction from China,275933431,9780275933432,18.97,3.99,2,24.96
Ready-to-Use Social Skills Lessons & Activities for Grades 7-12,876284756,723812468300,2.79,3.99,2,8.78
"Teaching Guide from Colonies to Country: Middle/High School Teaching Guide, A History of US: Teaching Guide Pairs with A History of US Book Three",195188888,9780195188882,13.96,3.99,2,19.95
Archaeologies of the Future: The Desire Called Utopia and Other Science Fictions,1844675386,9781844675388,15.86,3.99,2,21.85
The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2) (Story of the World),1933339098,9781933339092,8.48,3.99,2,14.47
Social Studies: All Day Every Day in the Early Childhood Classroom,1401881971,9781401881979,42.09,0,2,44.09
The Encyclopedia of Fantasy,312198698,9780312198695,15.94,3.99,2,21.93
Elemental Geosystems (9th Edition),134817443,9780134817446,168.99,3.99,2,174.98
"Schaum's Outline of Heat Transfer, 2nd Edition (Schaum's Outlines)",71764291,9780071764292,6.24,5.12,2,13.36
Criminology: A Complete Introduction (Teach Yourself),1444170236,9781444170238,11.1,0,2,13.1
Differential Equations (Cliffs Quick Review),822053209,9780822053200,0.96,3.99,2,6.95
GMAT Sentence Correction (Manhattan Prep GMAT Strategy Guides),1941234070,9781941234075,2.18,3.99,2,8.17
Complete GMAT Strategy Guide Set (Manhattan Prep GMAT Strategy Guides),1941234100,9781941234105,90.0,3.99,2,95.99
MCAT Complete 7-Book Subject Review 2018-2019: Online + Book (Kaplan Test Prep),1506223958,9781506223957,105.77,3.99,2,111.76
Design of Reinforced Concrete,1118879104,9781118879108,166.41,3.99,2,172.4
Organic Chemistry,840054440,9780840054449,14.95,3.99,2,20.94
Masonry Skills,1285426835,9781285426839,64.99,5.87,2,72.86
"Masonry Structural Design, Second Edition",1259641759,9781259641756,133.62,3.99,2,139.61
Critical Thinking Skills: Developing Effective Analysis and Argument (Palgrave Study Skills),230285295,8601400017395,5.57,3.99,2,11.56
"Concrete Technology (Trade, Technology & Industry)",827336357,9780827336353,50.65,6.47,2,59.12
Advanced Masonry Skills,827321481,9780827321489,26.67,0,2,28.67
The Complete Idiot's Guide to College Biology,1592578489,9781592578481,20.83,5.14,2,27.97
Exercises and Solutions in Biostatistical Theory (Chapman & Hall/CRC Texts in Statistical Science),1584887222,9781584887225,34.12,4.49,2,40.61
"Masonry Skills, 5E",766859363,9780766859364,5.53,5.82,2,13.35
GMAT Premier 2017 with 6 Practice Tests: Online + Book + Videos + Mobile (Kaplan Test Prep),1506203213,9781506203218,3.0,4.49,2,9.49
"Biology, 8th Edition",321543254,9780321543257,9.32,4.49,2,15.81
Study Guide/Solutions Manual for Organic Chemistry,1464162255,9781464162251,23.38,3.99,2,29.37
"Concrete Admixtures Handbook: Properties, Science and Technology (Building Materials Science Series)",815513739,9780815513735,195.96,3.99,2,201.95
Design of Concrete Structures,73293490,9780073293493,64.8,3.99,2,70.79
McGraw-Hill Education Preparation for the TASC Test 2nd Edition: The Official Guide to the Test (Mcgraw Hill's Tasc),71843876,9780071843874,2.33,3.99,2,8.32
"Student Solutions Manual and Study Guide for Hornback's Organic Chemistry, 2nd",534397107,9780534397104,40.5,3.99,2,46.49
"Build Your Own Barrel Oven: A Guide for Making a Versatile, Efficient, and Easy to Use Wood-Fired Oven",967984696,9780967984698,16.15,3.99,2,22.14
Kaplan GMAT 800: Advanced Prep for Advanced Students (Kaplan Test Prep),1618654063,783324943764,7.98,3.99,2,13.97
Engineering Economic Analysis,199778124,9780199778126,23.13,3.99,2,29.12
Sulfur Concrete for the Construction Industry: A Sustainable Development Approach,1604270055,9781604270051,117.0,3.99,2,122.99
Making Concrete Garden Ornaments,1579903185,9781579903183,4.58,3.99,2,10.57
Experiments in Egyptian Archaeology: Stoneworking Technology in Ancient Egypt,415588944,9780415588942,40.0,3.99,2,45.99
Natural Resource Conservation: Management for a Sustainable Future (10th Edition),132251388,9780132251389,78.0,3.99,2,83.99
Ecological Economics: Principles And Applications (Ecological Economics Textbook),1559633123,9781559633123,1.25,3.98,2,7.23
Reinforced Masonry Engineering Handbook: Clay and Concrete Masonry 7th Edition,940116162,9780940116160,140.04,3.99,2,146.03
Modern Masonry,1605252441,9781605252445,21.62,3.99,2,27.61
Sustainability Economics: An Introduction (Routledge Textbooks in Environmental and Agricultural Economics),415686830,9780415686839,41.08,3.99,2,47.07
Organizational Change: An Action-Oriented Toolkit,1483359301,9781483359304,70.49,4.49,2,76.98
Environmental Science (MindTap Course List),1305090446,9781305090446,41.76,3.99,2,47.75
Organization Development: The Process of Leading Organizational Change,1412987741,9781412987745,11.93,4.99,2,18.92
Development Economics (The Pearson Series in Economics),321464486,9780321464484,59.94,5.82,2,67.76
Industrial Safety and Health Management (7th Edition) (What's New in Engineering),134630564,9780134630564,153.32,3.99,2,159.31
Principles of Environmental Economics and Sustainability: An Integrated Economic and Ecological Approach,415676916,9780415676915,11.0,3.99,2,16.99
Environmental Communication and the Public Sphere,1506363598,9781506363592,51.04,3.99,2,57.03
Sustainability: Essentials for Business,1412982847,9781412982849,16.57,4.49,2,23.06
"Understanding Climate Change: Science, Policy, and Practice",1442614455,9781442614451,20.99,3.99,2,26.98
Can Life Prevail?,1907166637,9781907166631,32.62,3.99,2,38.61
Intelligent Courage: Natural Resource Careers That Make a Difference,1575242877,9781575242873,7.67,3.99,2,13.66
"Strategic Corporate Social Responsibility: Stakeholders, Globalization, and Sustainable Value Creation",1452217793,9781452217796,12.24,4.49,2,18.73
"Making Sense of Change Management: A Complete Guide to the Models, Tools and Techniques of Organizational Change",749464356,9780749464356,14.39,3.99,2,20.38
What Motivates Me: Put Your Passions to Work,996029702,9780996029704,8.99,3.99,2,14.98
Psychology,1429299908,9781429299909,8.0,3.99,2,13.99
Why People Cooperate: The Role of Social Motivations,691158002,9780691158006,2.89,3.99,2,8.88
Snapshots of Great Leadership (Leadership: Research and Practice),415872170,9780415872171,11.34,3.99,2,17.33
The Psychology of Effective Learning and Teaching,748790373,9780748790371,16.11,3.99,2,22.1
Psychology in Organizations,761942319,9780761942313,4.88,3.99,2,10.87
From Difficult to Disturbed: Understanding and Managing Dysfunctional Employees,814416675,9780814416679,12.26,3.99,2,18.25
Textbook of Clinical Echocardiography (Endocardiography),1455728578,9781455728572,93.99,3.99,2,99.98
Cellular and Molecular Immunology,323479782,9780323479783,42.0,0,2,44.0
Lift: The Fundamental State of Leadership,1626564019,9781626564015,9.94,3.99,2,15.93
A Human Error Approach to Aviation Accident Analysis: The Human Factors Analysis and Classification System,754618730,9780754618737,3.56,3.98,2,9.54
Textbook of Computable General Equilibrium Modeling: Programming and Simulations,230248144,9780230248144,42.0,3.99,2,47.99
Medical and Psychosocial Aspects of Chronic Illness and Disability,1284105407,9781284105407,54.7,3.99,2,60.69
Food Economics: Industry and Markets (Routledge Textbooks in Environmental and Agricultural Economics),415604613,9780415604611,8.19,3.99,2,14.18
Hollinshead's Textbook of Anatomy,397512562,9780397512560,5.79,3.99,2,11.78
Rheumatology: A Clinical Handbook,1907904263,9781907904264,28.08,3.99,2,34.07
Positive Psychology at Work: How Positive Leadership and Appreciative Inquiry Create Inspiring Organizations,470683201,9780470683200,17.01,3.99,2,23.0
SMART! Sports Medicine Assessment and Review Textbook: Expert Consult - Online and Print,1437702864,1437702864,69.99,3.99,2,75.98
Anatomy: A Photographic Atlas (Color Atlas of Anatomy a Photographic Study of the Human Body),1451193181,9781451193183,66.95,3.99,2,72.94
Gray's Anatomy for Students: With STUDENT CONSULT Online Access,443069522,8601300273518,7.71,3.99,2,13.7
"Psychology and Work Today, 10th Edition: International Edition",1292021683,9781292021683,26.2,5.99,2,34.19
Merchandising Mathematics for Retailing (5th Edition) (Fashion),132724162,9780132724166,47.61,4.85,2,54.46
"Understanding Materials Science: History, Properties, Applications, Second Edition",387209395,9780387209395,5.95,5.57,2,13.52
Relational Leading,1938552067,9781938552069,4.96,3.99,2,10.95
Casino Security and Gaming Surveillance,1420087827,9781420087826,54.1,0,2,56.1
Dangerous Economies: Status and Commerce in Imperial New York (Early American Studies),812220579,9780812220575,5.49,0,2,7.49
Master the Boards USMLE Step 3,1506235875,9781506235875,33.91,3.99,2,39.9
Gray's Anatomy for Students: With Student Consult Online Access,702051314,8601419489350,42.0,3.99,2,47.99
"Catholic Spirit: An Anthology for Discovering Faith Through Literature, Art, Film, and Music",1594711828,9781594711824,11.48,3.99,2,17.47
BLS for Healthcare Providers (Student Manual),1616690399,9781616690397,1.5,3.99,2,7.49
Disaster Management Handbook (Public Administration and Public Policy),1420058622,9781420058628,92.73,3.99,2,98.72
"Learning, Training, and Development in Organizations (SIOP Organizational Frontiers Series)",805855599,9780805855593,84.0,0,2,86.0
Happiness as Enterprise: An Essay on Neoliberal Life,1438449836,9781438449838,13.0,3.99,2,18.99
"Cybersecurity for Industrial Control Systems: SCADA, DCS, PLC, HMI, and SIS",1439801967,9781439801963,73.5,3.99,2,79.49
Ceramic Materials: Science and Engineering,1461435226,9781461435228,60.0,3.99,2,65.99
"Mayo Clinic Cardiology Concise Textbook and Mayo Clinic Cardiology Board Review Questions & Answers: (TEXT AND Q&A SET) (Murphy, Mayo Clinic ... w/ Mayo Clinic Cardiology Board Review Q & A)",1420067486,9781420067484,413.09,0,2,415.09
Vinyl Leaves: Walt Disney World and America (Institutional Structures of Feeling),813314720,9780813314723,12.0,3.99,2,17.99
"Schaum’s Outline of Fluid Mechanics and Hydraulics, 4th Edition (Schaum's Outlines)",71831452,9780071831451,3.98,3.99,2,9.97
"Recovering the Full Mission of God: A Biblical Perspective on Being, Doing and Telling",830840265,9780830840267,11.69,3.99,2,17.68
"Materials Science, Testing, and Properties for Technicians",135607647,9780135607640,5.0,3.99,2,10.99
Bank Management,324655789,9780324655780,9.48,3.99,2,15.47
Cardiovascular Physiology Concepts,1451113846,9781451113846,27.55,3.99,2,33.54
Life Together in Christ: Experiencing Transformation in Community,830835865,9780830835867,4.84,3.99,2,10.83
Jenney's First Year Latin,133193284,9780133193282,14.38,3.99,2,20.37
High-Pressure Shock Compression of Solids (Shock Wave and High Pressure Phenomena),387979646,9780387979649,140.0,3.95,2,145.95
The Impact of God (Soundings from St John of the Cross),340612576,9780340612576,2.96,3.99,2,8.95
Kochar's Concise Textbook of Medicine (Book with CD-ROM),781729424,9780781729420,3.0,3.99,2,8.99
Acts 29: The Mission Continues A Course in Sharing Your Faith,1600063128,9781600063121,10.26,3.99,2,16.25
"Experimental Techniques: Cryostat Design, Material Properties and Superconductor Critical-Current Testing",198570546,9780198570547,134.12,3.99,2,140.11
Anatomy and Physiology Coloring Workbook: A Complete Study Guide (12th Edition),134459369,9780134459363,71.86,3.99,2,77.85
"NRSV, Standard Catholic Edition Bible, Anglicized, Hardcover, Navy/Blue: The Bible for Everyone: Trusted, Accurate, Readable",61689831,9780061689833,2.0,4.49,2,8.49
Official (ISC)2 Guide to the SSCP CBK ((ISC)2 Press),1439804834,9781439804834,29.95,3.99,2,35.94
"Physical Principles of Electron Microscopy: An Introduction to TEM, SEM, and AEM",3319398768,9783319398761,85.62,3.99,2,91.61
REALIDADES 2014 LEVELED VOCABULARY AND GRAMMAR WORKBOOK LEVEL 2 (Realidades: Level 2),133225720,9780133225723,31.04,3.99,2,37.03
"Heat Treatment, Selection, and Application of Tool Steels",1569902380,9781569902387,50.45,4.94,2,57.39
The Writings of Julian of Norwich: A Vision Showed to a Devout Woman and A Revelation of Love (Brepols Medieval Women Series),271025476,9780271025476,27.29,3.99,2,33.28
Analysis and Performance of Fiber Composites,1119389984,9781119389989,72.61,3.99,2,78.6
Theory and Practice of Infrared Technology for Nondestructive Testing,471181900,9780471181903,79.95,0,2,81.95
"Simply Bonaventure: An Introduction to His Life, Thought, and Writings, 2nd Edition (Theology and Faith)",1565484843,9781565484849,9.04,3.99,2,15.03
Graceful Evangelism: Christian Witness in a Complex World,801031850,9780801031854,8.3,3.99,2,14.29
Damage Tolerance and Durability of Material Systems,471152994,9780471152996,164.45,3.99,2,170.44
Scanning Electron Microscopy and X-Ray Microanalysis: Third Edition,306472929,9780306472923,33.99,3.99,2,39.98
"Solid Surfaces, Interfaces and Thin Films (Graduate Texts in Physics)",3319107550,9783319107554,85.14,3.99,2,91.13
Consoling Thoughts On Trials of An Interior Life (Consoling Thoughts of St. Francis De Sales),895552140,9780895552143,10.85,3.99,2,16.84
Belief Matters: Grappling with the Essentials of the Christian Faith,736924558,9780736924559,0.1,4.89,2,6.99
