title,isbn10,isbn13
The Mind's Machine,1605352764,9781605352763
Psychology Applied to Modern Life: Adjustment in the 21st Century (MindTap Course List),1305968476,9781305968479
Introduction to Electrodynamics (3rd Edition),013805326X,9780138053260
Electricity and Magnetism,1107014026,9781107014022
Modern Electrodynamics,0521896975,9780521896979
Engineering Electromagnetic Fields and Waves,0471098795,9780471098799
Electrodynamics of Continuous Media: Volume 8 (Course of Theoretical Physics S),0750626348,9780750626347
Engineering Magnetohydrodynamics (Dover Civil and Mechanical Engineering),0486450325,9780486450322
Topological Insulators and Topological Superconductors,069115175X,9780691151755
Electromagnetism: Problems with Solutions,8120346335,9788120346338
Professional Management of Housekeeping Operations,047176244X,9780471762447
"Black & Decker The Complete Guide to Roofing & Siding: Updated 3rd Edition - Choose, Install & Maintain Roofing & Siding Materials (Black & Decker Complete Guide)",158923717X,0052944019006
Introduction to Housing,0131190423,9780131190429
Pattern Cutting for Women's Tailored Jackets: Classic and Contemporary,0632054670,9780632054671
"Modern Industrial Electronics, Fifth Edition",0130487414,9780130487414
"Electronic Troubleshooting, Fourth Edition",0071819908,9780071819909
"The Upholsterer's Pocket Reference Book: Materials, Measurements, Calculations",0946819718,9780946819713
VCR Troubleshooting and Repair,075069940X,9780750699402
Surveying Historic Buildings,1873394675,9781873394670
"The Revolutionary Era, 1789-1850 (The Norton History of Modern Europe)",0393978605,9780393978605
The First Prejudice: Religious Tolerance and Intolerance in Early America (Early American Studies),0812223144,9780812223149
"Major Problems in the Era of the American Revolution, 1760-1791: Documents and Essays (Major Problems in American History Series)",0395903440,9780395903445
"Red, White, and Black (6th Edition)",0205692370,2900205692377
The Blessings of Liberty: A Concise History of the Constitution of the United States,1442259922,9781442259928
In My Power: Letter Writing and Communications in Early America (Early American Studies),0812221818,9780812221817
"Revolution in Virginia, with a new Foreword",0879352337,9780879352332
"Red, White, and Black: The Peoples of Early North America (5th Edition)",013193550X,9780131935501
African Muslims in Antebellum America: Transatlantic Stories and Spiritual Struggles,0415912709,9780415912709
These Fiery Frenchified Dames: Women and Political Culture in Early National Philadelphia (Early American Studies),0812217772,9780812217773
Colonial and Revolutionary America,0205809693,9780205809691
The American Revolution Reader (Routledge Readers in History),0415537576,9780415537575
Abraham in Arms: War and Gender in Colonial New England (Early American Studies),0812219619,9780812219616
The Professional Chef,0470421355,0884713890789
Anatomy for the Artist,078948045X,8601410866938
Strength and Conditioning for Sports Performance,0415578213,9780415578219
Welcome to Church Music & The Hymnal 1982,0819229423,9780819229427
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711
Transgender 101: A Simple Guide to a Complex Issue,0231157134,9780231157131
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317
Computer Organization and Design RISC-V Edition: The Hardware Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design),0128122757,9780128122754
"Multiculturalism, Crime, and Criminal Justice",0190642637,9780190642631
The Picture of Dorian Gray (Norton Critical Edition),0393927547,9780719546686
Ultimate Spanish Beginner-Intermediate (Coursebook) (Ultimate Beginner-Intermediate),1400009618,9781400009619
Hitler: Profiles in Power,0582437563,9780582437562
Dvorák: Cello Concerto (Cambridge Music Handbooks),0521669030,9780521669030
Analysing Architecture (Volume 1),041571916X,9780415719162
Basics Interior Architecture 05: Texture + Materials,2940411530,9782940411535
Materials for Interior Environments,111830635X,9781118306352
Interior Design: A Critical Introduction,1847883125,9781847883124
Evidence-Based Design for Interior Designers,1563677598,9781563677595
"Integrated Korean: Beginning 1, 2nd Edition (Klear Textbooks in Korean Language)",0824834402,0783324852189
Violence and Maltreatment in Intimate Relationships,1506323812,9781506323817
Child Maltreatment: An Introduction (Volume 3),1452205795,9781452205793
Building the Bonds of Attachment: Awakening Love in Deeply Traumatized Children,1442274131,9781442274136
"Child Abuse and Neglect: Attachment, Development and Intervention",1403948267,9781403948267
Child Abuse and Culture: Working with Diverse Families,1593851308,9781593851309
Repair for Kids: A Children's Program for Recovery from Incest and Childhood Sexual Abuse,1932690573,9781932690576
Introduction to Working with Adult Survivors of Childhood Trauma: Techniques and Strategies (Mental Health Practice),0495006181,9780495006183
An Introduction to Quality Assurance in Health Care,0195158091,9780195158090
Silverthorn (Turtleback School & Library Binding Edition) (Riftwar Saga),0613293452,9780613293457
Resorts: Management and Operation,1118071824,9781118071823
The Wine Bible,0761180834,9780761180838
Material World: A Global Family Portrait,0871564300,9780871564306
Milady Standard Esthetics: Fundamentals (MindTap Course List),1111306893,9781111306892
Reading Contemporary Picturebooks: Picturing Text,0415208874,9780415208871
Becoming a Master Student (MindTap Course List),1337097101,9781337097109
Assessment Procedures for Counselors and Helping Professionals (7th Edition),0137152523,9780137152520
Tonal Harmony,0078025141,9780078025143
Tonal Harmony: With an Introduction to Twentieth Century Music,0073401358,9780073401355
Concise Introduction to Tonal Harmony,0393264769,9780393264760
Harmony in Context,0073137944,9780073137940
"Workbook: for Harmonic Practice in Tonal Music, Second Edition",039397667X,9780393976670
Schenker Guide: A Brief Handbook and Website for Schenkerian Analysis,0415973988,9780415973984
Harmony and Voice Leading,0155062425,9780155062429
Advanced Harmony: Theory and Practice (5th Edition),0130833398,9780130833396
Popular World Music,013612898X,9780136128984
Rock Music Styles: A History,0078025184,9780078025181
Cambridge International AS and A Level Chemistry Coursebook with CD-ROM (Cambridge International Examinations),1107638453,9781107638457
Complete Chemistry for Cambridge Secondary 1 Student Book: For Cambridge Checkpoint and beyond (CIE Checkpoint),0198390181,9780198390183
Chemistry Advanced Placement Seventh Edition,0618713700,9780618713707
Addison Wesley Chemistry,0201861607,9780201861600
Complete Chemistry for Cambridge IGCSERG with CD-ROM (Second Edition),0199138788,9780199138784
Substance Abuse and Addiction Treatment: Practical Application of Counseling Theory,013254265X,9780132542654
"Brief Intervention for School Problems, Second Edition: Outcome-Informed Strategies (The Guilford School Practitioner Series)",1606239309,9781606239308
Disrupting the School-to-Prison Pipeline (HER Reprint Series),0916690547,9780916690540
Substance Abuse Counseling: Theory and Practice (4th Edition),0132409038,9780132409032
Assessment for Crisis Intervention: A Triage Assessment Model,053436232X,9780534362324
Wellness Counseling (The Merrill Counseling Series),0132330520,9780132330527
Slovak for You (Slovecina Pre Vas) (English and Slovak Edition),0865163316,9780865163317
Lao Basics: An Introduction to the Lao Language (Audio CD Included) (Tuttle Basics),0804840997,9780804840996
Ultimate German Advanced (Coursebook) (Ultimate Advanced),1400020581,9781400020584
"Advanced French Coursebook: Complete Course, Revised & Updated (Advanced Complete Basic Courses)",0609804499,9780609804490
A Japanese Phrase A Day Practice Pad (Tuttle Practice Pads),4805310855,9784805310854
Developing Person Through Childhood and Adolescence,1319058132,9781319058135
A Comprehensive Guide to Intellectual and Developmental Disabilities,1557667004,9781557667007
Social Policy for Children and Families: A Risk and Resilience Perspective (Volume 3),148334455X,9781483344553
Development Across the Life Span (7th Edition),0205940072,9780205940073
Developmental Psychology: The Growth of Mind and Behavior,0393124010,9780393124019
Mathematica for Theoretical Physics: Classical Mechanics and Nonlinear Dynamics,0387016740,9780387016740
Magnetic Particle Testing: Classroom Training Book,1571171185,9781571171184
Magnetism in Condensed Matter (Oxford Master Series in Physics),0198505914,9780198505914
E&M TIPERs: Electricity & Magnetism Tasks,0131854992,9780131854994
Superconducting Magnets (Monographs on Cryogenics),0198548109,9780198548102
Practical VCR Repair,0827365837,9780827365834
Foodservice Organizations: A Managerial and Systems Approach (5th Edition),0130486892,9780130486899
Schematic Wiring a Step-By-Step Guide,0912524669,9780912524665
"The Triumph of Individual Style : A Guide to Dressing Your Body, Your Beauty, Your Self",1563672693,9781563672699
Management by Menu,0471413194,9780471413196
"The Origins of the Federal Republic: Jurisdictional Controversies in the United States, 1775-1787",0812211677,9780812211672
That Ever Loyal Island: Staten Island and the American Revolution,0814767664,9780814767665
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187
Essentials of Professional Cooking,1118998707,9781118998700
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168
Food for Fifty: 9th edition,0024103411,0000024103411
Understanding Animation,0415115973,9780415115971
Japanese in MangaLand 3: Intermediate Level (Japanese in MangaLand Series),4889961879,9784889961874
EXPOSÉ 7: The Finest Digital Art in the Known Universe,1921002646,9781921002649
An Introduction to the History of Psychology (PSY 310 History and Systems of Psychology),0495506214,9780495506218
Counseling the Culturally Diverse: Theory and Practice,1118022025,9781118022023
Behavior Modification: What It Is and How To Do It,0205992102,9780205992102
The Making of Slap Shot: Behind the Scenes of the Greatest Hockey Movie Ever Made,0470159413,9780470159415
Progressive Sight Singing,0195178475,9780195178470
The Illustrated Network: How TCP/IP Works in a Modern Network (The Morgan Kaufmann Series in Networking),0123745411,9780123745415
The Routledge Queer Studies Reader (Routledge Literature Readers),0415564115,9780415564113
"When Heroes Love: The Ambiguity of Eros in the Stories of Gilgamesh and David (Gender, Theory, and Religion)",0231132603,9780231132602
Odd Girls and Twilight Lovers: A History of Lesbian Life in Twentieth-Century America,0231074891,9780231074896
Queer Theory and the Jewish Question (Between Men-Between Women: Lesbian and Gay Studies),0231113757,8580000295290
"Between Women: Friendship, Desire, and Marriage in Victorian England",0691128359,9780691128351
"The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African, Written by Himself (Norton Critical Editions)",0393974944,8601416937908
The Godwins: The Rise and Fall of a Noble Dynasty,0582784409,9780582784406
Life and Times of William IV (Kings & Queens),0297778390,9780297778394
Anne Hutchinson: Puritan Prophet (Library of American Biography),0321476212,9780321476210
Edmund Burke: Volume II: 1784-1797,0199541531,9780199541539
Elementary Information Security,1284055930,9781284055931
Fundamentals of Communications and Networking (Jones & Bartlett Learning Information Systems Security & Assurance),1284060144,9781284060140
Exam 98-365 MTA Windows Server Administration Fundamentals,0470901829,9780470901823
Java Network Programming,1449357679,9781449357672
Rules for Writers,1457683040,9781457683046
"The Hodges Harbrace Handbook, 18th Edition",1111346704,9781111346706
The Handbook of Technical Writing,1457675528,9781457675522
A Writer's Reference,1319057446,9781319057442
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),039916524X,9780399165245
Not Gay: Sex between Straight White Men (Sexual Cultures),1479825174,9781479825172
My New Gender Workbook: A Step-by-Step Guide to Achieving World Peace Through Gender Anarchy and Sex Positivity,0415538653,9780415538657
Angels in America: A Gay Fantasia on National Themes: Revised and Complete Edition,1559363843,9781559363846
Radical Love: Introduction to Queer Theology,1596271329,9781596271326
Introducing the New Sexuality Studies: 2nd Edition,0415781264,9780415781268
Human Behavior in the Social Environment: A Social Systems Approach (Modern Applications of Social Work Series),0202364003,9780202364001
Excitable Speech: A Politics of the Performative,0415915880,9780415915885
Huck's Raft: A History of American Childhood,0674019989,9780674019980
I'm Here - Compassionate Communication in Patient Care,097200002X,9780972000024
Dracula (Norton Critical Editions),0393970124,9780393970128
Now You See It,041525499X,9780415254991
The Personal Training Sales Education Textbook: A simple and effective sales system designed specifically for the personal trainer in the health club.,1463567235,9781463567231
"Biology, 8th Edition",0321543254,9780321543257
"Living Language Korean, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, Korean reading & writing guide, and free online learning",0307972232,9780307972231
Barron's IB Math Studies,1438003358,9781438003351
"Living Language French, Essential Edition: Beginner course, including coursebook, 3 audio CDs, and free online learning",0307478424,9780307478429
Hitler and Nazi Germany (6th Edition),0205695329,9780205695324
Hegel: An Intellectual Biography,0745617816,9780745617817
The Triumph of Reason - The Thinking Man's Guide to Adolf Hitler,190847677X,9781908476777
The Shame of Survival: Working Through a Nazi Childhood,0271034483,9780271034485
The Last Eyewitnesses: Children of the Holocaust Speak (Jewish Lives),0810115115,9780810115118
Journey to the Abyss: The Diaries of Count Harry Kessler 1880-1918,0307278433,9780307278432
Grey Wolf: The Escape of Adolf Hitler,1402781393,9781402781391
Konrad Adenauer: The Father of the New Germany,0471407372,9780471407379
Theresienstadt: Hitler's Gift to the Jews,0807855847,9780807855843
"Solar Dance: Van Gogh, Forgery, and the Eclipse of Certainty",0674283988,9780674283985
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767
Comprehensive Textbook of Suicidology,157230541X,9781572305410
The Return of Martin Guerre,0674766911,9780674766914
"Math in Focus: The Singapore Approach: Grade 5, Student Book B",0669010804,9780669010800
The Growth Of Logical Thinking From Childhood To Adolescence: AN ESSAY ON THE CONSTRUCTION OF FORMAL OPERATIONAL STRUCTURES (International Library of Psychology),0415864445,9780415864442
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294
Successful Coaching-4th Edition,1450400515,9781450400510
DeGarmo's Materials and Processes in Manufacturing,0470924675,8601400071953
Oxford Textbook of Palliative Nursing (Oxford Textbooks in Palliative Medicine),0199332347,9780199332342
Critical Thinking,1259690873,9781259690877
"Battered Women and Their Families: Intervention Strategies and Treatment Programs, Third Edition (Springer Series on Family Violence)",0826145922,9780826145925
The Oxford Book of Carols: Music edition,0193533154,9780193533158
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503
Genki: An Integrated Course in Elementary Japanese Workbook I [Second Edition] (Japanese Edition) (Japanese and English Edition),478901441X,9784789014410
Integrated Chinese: Level 2 Part 2 Textbook (Chinese Edition) (Chinese and English Edition),0887276881,8601405078261
"Integrated Chinese: Level 2, Part 1 (Simplified and Traditional Character) Textbook (Chinese Edition) (Chinese and English Edition)",0887276792,9780887276798
Aproximaciones al estudio de la literatura hispánica,0073385379,9780073385372
"Bosnian, Croatian, Serbian, a Textbook: With Exercises and Basic Grammar",0299236544,9780299236540
"Glencoe Life Science, Student Edition",007877800X,9780078778001
"Childhood Victimization: Violence, Crime, and Abuse in the Lives of Young People (Interpersonal Violence)",0195342852,9780195342857
Child Abuse Medical Diagnosis & Management,1581102089,9781581102086
"Handbook of Child and Adolescent Drug and Substance Abuse: Pharmacological, Developmental, and Clinical Considerations",0470639067,9780470639061
Pocahontas and the Powhatan Dilemma: The American Portraits Series,0809077388,9780809077380
On Cooking: A Textbook of Culinary Fundamentals (6th Edition) (What's New in Culinary & Hospitality),0134441907,9780134441900
Event Risk Management and Safety,0471401684,9780471401681
The Professional Personal Chef: The Business of Doing Business as a Personal Chef (Book only),0471752193,9780471752196
Sacred Places: Sites of Spiritual Pilgrimage from Stonehenge to Santiago de Compostela,1847242405,9781847242402
Selling Destinations,142832142X,9781428321427
"Planning an Applied Research Project in Hospitality, Tourism, and Sports",1118637224,9781118637227
Who Needs a Road?: The Story of the Longest and Last Motor Journey Around the World,0964252155,9780964252158
Milady Standard Nail Technology (MindTap Course List),1285080475,9781285080475
The Dynamics of Fashion: Studio Access Card,1609015002,9781609015008
"The Visible Self: Global Perspectives on Dress, Culture and Society",1609018702,9781609018702
What People Wore When: A Complete Illustrated History of Costume from Ancient Times to the Nineteenth Century for Every Level of Society,0312383215,9780312383213
In Fashion: Studio Instant Access,1609012224,9781609012229
Survey of Historic Costume,1628921676,9781628921670
First Time Sewing: The Absolute Beginner's Guide: Learn By Doing - Step-by-Step Basics and Easy Projects,1589238044,0052944019754
Telesa: The Covenant Keeper,1466253711,9781466253711
El mismo mar de todos los veranos (Compactos Anagrama) (Spanish Edition),8433920197,9788433920195
Appreciative Inquiry: Foundations in Positive Organization Development,1588744728,9781588744722
Heavenly Breakfast: An Essay on the Winter of Love,0917453336,9780917453335
"Workbook: Harmony and Voice Leading, Volume 1",0155062263,9780155062269
Harmonic Function in Chromatic Music: A Renewed Dualist Theory and an Account of Its Precedents,0226318095,9780226318097
American Popular Music,0199859116,9780199859115
American Popular Music,0073526576,9780073526577
What's That Sound?: An Introduction to Rock and Its History (Fourth Edition),0393937259,9780393937251
Jazz Styles (11th Edition),020503683X,9780205036837
Jazz Arranging,1880157608,9781880157602
"American Music: A Panorama, 5th Concise Edition",1285446216,9781285446219
A-Level Chemistry - Core Text Fourth Edition,0748752994,9780748752997
PRENTICE HALL SCIENCE EXPLORER CHEMICAL INTERACTIONS STUDENT EDITION THIRD EDITION 2005,0131150979,9780131150973
Greek Phrase Book (Greek Language),0715614681,9780715614686
"French in Action: A Beginning Course in Language and Culture, Second Edition: Study Guide, Part 2 (Yale Language Series)",0300058284,9780300058284
Outreach Spanish: Book/Cassette Package,0764173405,9780764173400
