title,isbn10,isbn13
Interiors: An Introduction,0072965207,9780072965209
Designing Sustainable Residential and Commercial Interiors: Applying Concepts and Practices,1609014790,9781609014797
Residential Planning and Design,1563673843,9781563673849
"Conceptualize, Create, Communicate: Designing Living Spaces with Google SketchUp",0135125804,9780135125809
Architectural Acoustics: Principles and Practice,0470190523,9780470190524
The Interior Design Business Handbook: A Complete Guide to Profitability,1118139879,9781118139875
"Treatment Manual for Anorexia Nervosa, Second Edition: A Family-Based Approach",1462506763,9781462506767
Handbook of the Psychology of Aging (Handbooks of Aging),0124114695,9780124114692
"Handbook of Autism and Pervasive Developmental Disorders, Diagnosis, Development, and Brain Mechanisms (Volume 1)",1118107020,9781118107027
"The Psychology of Gender, Second Edition",1593852444,9781593852443
The Cambridge Companion to Vygotsky,0521537878,9780521537872
Friendships in Childhood and Adolescence (The Guilford Series on Social and Emotional Development),1462509606,9781462509607
Understanding Disability: A Lifespan Approach (SAGE Sourcebooks for the Human Services),0761905278,9780761905271
Childhood Disorders (Clinical Psychology: A Modular Course),0863776094,9780863776090
Problematic Behaviors During Adolescence,0072316853,9780072316858
Psychotherapy for Children and Adolescents: Directions for Research and Practice,0195126181,9780195126181
Attention Deficit Hyperactivity Disorder (ADHD) in Children: An Overview (Psychiatry),9814206105,9789814206105
Business Data Communications,0470483369,8587234444449
An Introduction to Moroccan Arabic and Culture (Arabic Edition),1589016939,9781589016934
Psychoanalytic Theories: Perspective from Developmental Psychopathology (Whurr Series in Psychoanalysis),0415934885,9780415934886
Adaptive Origins: Evolution and Human Development,0805860126,9780805860122
Cognition In Children (Developmental Psychology: A Modular Course),0863778259,9780863778254
"Tourism Impacts, Planning and Management",1138016292,9781138016293
"Network Routing: Algorithms, Protocols, and Architectures (The Morgan Kaufmann Series in Networking)",0128007370,9780128007372
A Digital Signal Processing Primer: With Applications to Digital Audio and Computer Music,0805316841,9780805316841
Quick Skills: Organizing For Success,0538432233,9780538432238
Applied Social Psychology: Understanding and Addressing Social and Practical Problems,1412976383,9781412976381
"The Rhetoric of Agitation and Control, Third Edition",1577666143,9781577666141
Self in Social Psychology: Key Readings (Key Readings in Social Psychology),086377573X,9780863775734
Taking Sides: Clashing Views in Drugs and Society,1259922790,9781259922794
Brooks/Cole Empowerment Series: Psychopathology: A Competency-Based Assessment Model for Social Workers,0840029152,9780840029157
Social Worker as Researcher: Integrating Research with Advocacy,0205594948,9780205594948
Multicultural Psychology,1538101114,9781538101117
¡Arriba!: Comunicación y cultura (6th Edition),0205740375,9780205740376
Henle Latin First Year,0829410260,9780829410266
"Pathways 3: Listening, Speaking, and Critical Thinking - Standalone book",1111398658,9781111398651
Workbook to accompany Prego! An Invitation to Italian,0073266760,9780073266763
Landmark Essays on Basic Writing: Volume 18 (Landmark Essays Series),1880393298,9781880393291
Crafting Your Research Future: A Guide to Successful Master's and Ph.D. Degrees in Science & Engineering,1608458105,9781608458103
Your College Experience: Study Skills Edition: Strategies for Success,1457625741,9781457625749
The Oxford Handbook of Music Psychology (Oxford Library of Psychology),019872294X,9780198722946
Lev Vygotsky (Classic Edition): Revolutionary Scientist (Psychology Press & Routledge Classic Editions),1848726805,9781848726802
Check-in Check-Out: Managing Hotel Operations (10th Edition) (What's New in Culinary & Hospitality),0134303504,9780134303505
Food for Fifty (13th Edition),0136136516,9780136136514
Moral Theory at the Movies: An Introduction to Ethics,0742547876,9780742547872
Mastering Networks: An Internet Lab Manual,0201781344,9780201781342
Network+ Certification For Dummies,0764516213,9780764516214
"Fundamentals of Natural Computing: Basic Concepts, Algorithms, and Applications (Chapman & Hall/CRC Computer and Information Science Series)",1584886439,9781584886433
CCNA Wireless Study Guide: IUWNE Exam 640-721,047052765X,9780470527658
"Digital Image Processing and Analysis: Human and Computer Vision Applications with CVIPtools, Second Edition",143980205X,9781439802052
"Human Performance Engineering: Designing High Quality Professional User Interfaces for Computer Products, Applications and Systems (3rd Edition)",0131496344,9780131496347
Basics Interior Architecture 04: Elements / Objects,2940411107,9782940411108
Psychology of Emotion (Principles of Social Psychology),1848725124,9781848725126
Essential Social Psychology (Sage Edge),1446270777,9781446270776
Group Processes: Dynamics Within and Between Groups,0631184961,9780631184966
"English practice for speakers of Russian: ESL textbook with reader, vocabulary bank, grammar rules, exercises and songs (Russian Edition)",9661529043,9789661529044
¿Qué le Duele? (Spanish and English Edition),1594604223,9781594604225
Remembering the Kanji 1: A Complete Course on How Not to Forget the Meaning and Writing of Japanese Characters,0824835921,8601400140734
"Intensive Bulgarian, Vol. 2: A Textbook & Reference Grammar",0299167542,9780299167547
Spanish Composition Through Literature (6th Edition),0205696759,9780205696758
First Year Polish,0893571083,9780893571085
Useful Equations for HP 35s or HP 33s Calculator for the Civil PE Exam,1483951502,9781483951508
Filter Synthesis Using Genesys S/Filter (Artech House Microwave Library (Hardcover)),1608078027,9781608078028
ManageFirst: Hospitality and Restaurant Marketing with Answer Sheet (2nd Edition),0132181665,9780132181662
Ethics and the Environment: An Introduction (Cambridge Applied Ethics),0521682843,9780521682848
The Spec Manual 2nd edition,1563673738,9781563673733
"The Red Pony, Chrysanthemums and Flight (Cliffs Notes)",0822011352,9780822011354
Introduction to Networking,0072226781,9780072226782
Linear Programming: Methods and Applications: Fifth Edition (Dover Books on Computer Science),048643284X,9780486432847
Foundations of Crystallography with Computer Applications,1466552913,9781466552913
Know Your Home Furnishings,1628927569,9781628927566
The Organon: The works of Aristotle on Logic,1478305622,9781478305620
"Gender: Psychological Perspectives, Seventh Edition",1138182346,9781138182349
"Handbook of Personality, Third Edition: Theory and Research",1609180593,9781609180591
Research Methods for Social Psychology,1118406052,9781118406052
The Student's Guide to Social Neuroscience,1138908622,9781138908628
Hurting the One You Love: Violence in Relationships,0534633161,9780534633165
Nuevos mundos: Curso de espanol para bilingues,0470588985,9780470588987
Learn Russian Language Through Dialogue: Bilingual Textbook with Parallel Translation for Speakers of English (English Edition) (Russian and English Edition),1469971577,9781469971575
Contacts: Langue et culture françaises 8th edition,0618395784,9780618395781
Da Capo (World Languages),1428262741,9781428262744
"Introducción a la Lingüística Hispánica, 2nd Edition",0521513987,9780521513982
"Step by Step in Esperanto: A Textbook for English-Speaking Students for Class Teaching or Home Study With Graduated Reading Matter Numerous Exercises, and Index",0939785013,9780939785018
¿Que tal?: An Introductory Course Student Edition with Bind-in OLC passcode card,0073209422,9780073209425
Electricity and Electronics: A Survey (5th Edition),0130195642,9780130195647
Troubleshooting and Repairing Commercial Electrical Equipment,0071810307,9780071810302
Illustrated Guide to the NEC (Illustrated Guide to the National Electrical Code (NEC)),1435498135,9781435498136
Modern Residential Wiring,1605255823,9781605255828
Electrical Safety,1435481852,9781435481855
Journeyman Electrician’s Review,1439059446,9781439059449
The Professional Server: A Training Manual (3rd Edition) (What's New in Culinary & Hospitality),013455275X,9780134552750
National Geographic Learning's Visual Geography of Travel and Tourism,1133951260,9781133951261
Hotel Front Office Management,0470637528,9780470637524
Food Around the World: A Cultural Perspective (4th Edition),0133457982,9780133457988
The Sovereignty of Good,0415253993,9780415253994
Criminal Justice Ethics,0130851299,9780130851291
Ancient Ethics,0415940273,9780415940276
Contemporary Bioethics: A Reader with Cases,0195313828,9780195313826
Taking Sides: Clashing Views in Business Ethics and Society,1259922804,9781259922800
Effective Helping: Interviewing and Counseling Techniques (PSY 642 Introduction to Psychotherapy Practice),0495006254,9780495006251
Costume Design 101-2nd edition: The Business and Art of Creating Costumes For Film and Television (Costume Design 101: The Business & Art of Creating),1932907696,9781932907698
Chispas: Pupil Book 1 Level 1,0435984829,9780435984823
Anna Karenina (Cliffs Notes),0822001837,9780822001836
Cambridge IGCSE Computer Science,1471809307,9781471809309
Stevenson's Dr. Jekyll and Mr. Hyde (Cliffs Notes),0822004089,0049086004083
Automotive Air Conditioning and Climate Control Systems,0750669551,9780750669559
"Refrigeration Principles, Practices, and Performance",1418060976,0001418060976
"Heat Pipes: Theory, Design and Applications",0750667540,9780750667548
"Heating, Ventilating, and Air Conditioning: HVAC Trainee Guide",0130604801,9780130604804
"Air-cooled Heat Exchangers And Cooling Towers: Thermal-flower Performance Evaluation And Design, Vol. 2",1593700199,9781593700195
Steam and Hot Water Primer,1428360727,9781428360723
Security+ Guide to Networking Security Fundamentals,0619215666,9780619215668
"Designing and Supporting Computer Networks, CCNA Discovery Learning Guide",1587132125,0619472132128
"Understanding Virtual Reality: Interface, Application, and Design (The Morgan Kaufmann Series in Computer Graphics)",1558603530,9781558603530
"Digital Filters: Analysis, Design and Applications",007002121X,9780070021211
Studio Companion Series Drafting Basics,1609010957,9781609010959
Programming and Research: Skills and Techniques for Interior Designers,1628929545,9781628929546
Stained Glass: From its Origins to the Present,0810946440,9780810946446
"From Poimandres to Jacob Bohme: Hermetism, Gnosis and the Christian Tradition",9071608107,9789071608100
Professional Practice for Interior Designers,0471760862,9780471760863
"Codes, Regulations, and Standards in Interior Design",0137033036,9780137033034
"A First Course in Logic, Gold Edition",0321277325,9780321277329
Mathematical Methods in Linguistics (Studies in Linguistics and Philosophy),9027722455,9789027722454
The Power of Logic,0072875879,9780072875874
Knowledge of Meaning: An Introduction to Semantic Theory,0262621002,9780262621007
Arabic for Life: A Textbook for Beginning Arabic,0300141319,9780300141313
MAKING COMMUNICATIVE LANGUAGE TEACHING HAPPEN,0073655171,9780073655178
"Ecce Romani I-A, A Latin Reading Program, 2nd edition: Meeting the Family (Vol 1)",0801312043,9780801312045
"The Rouledge Course in Modern Mandarin Chinese Level 1, Simplified Characters (Volume 1)",0415472512,9780415472517
Reprise:  A French Grammar Review Worktext,0073535419,9780073535418
"Electronics Fundamentals: Circuits, Devices & Applications with Lab Manual (8th Edition)",0136125123,9780136125129
"NFPA 921: Guide for Fire and Explosion Investigations, 2011 Edition",1616657146,9781616657147
Sports and Entertainment Marketing,1133602444,9781133602446
Tourism Management: An Introduction,1848608705,9781848608702
ManageFirst: Human Resources and Supervision with Online Test Voucher (2nd Edition),0132724499,9780132724494
"Practicing Communication Ethics: Development, Discernment, and Decision-Making",0205453600,9780205453603
Introduction to the Philosophy of Sport (Elements of Philosophy),0742570614,9780742570610
Cloth and Human Experience (Smithsonian Series in Ethnographic Inquiry),0874749956,9780874749953
Research Methods for the Fashion Industry,1563676338,9781563676338
Dante's The Divine Comedy: Purgatorio (Cliffs Notes),0822003945,9780822003946
Shakespeare's A Midsummer Night's Dream (Cliffs Notes),0822000571,9780822000570
Study Guide and Solutions Manual for iGenetics: A Mendelian Approach,0805346759,9780805346756
The Old Testament (Cliffs Notes),0822009498,9780822009498
"Natural Ventilation of Buildings: Theory, Measurement and Design",047066035X,9780470660355
Basics Interior Architecture 03: Drawing Out the Interior,2940373884,9782940373888
Design Portfolios: Moving from Traditional to Digital,1609012410,9781609012410
"Portfolios for Interior Designers: A Guide to Portfolios, Creative Resumes, and the Job Search",0470408162,9780470408162
Studio Companion Series 3D Design Basics,1609010981,9781609010980
"Kitchen & Bath Design Presentation: Drawing, Plans, Digital Rendering (NKBA Professional Resource Library)",1118568745,9781118568743
Readings on Argumentation,1891136208,9781891136207
Set Theory and Its Philosophy: A Critical Introduction,0199270414,9780199270415
"Modal Logics and Philosophy, Second Edition",0773536531,9780773536531
Egyptian Hieroglyphs for Complete Beginners,0500290288,9780500290286
New Short Guide to the Accentuation of Ancient Greek (BCP Advanced Greek & Latin Language),1853995991,9781853995996
Beginning Hindi: A Complete Course (Hindi Edition),1626160228,9781626160224
Swedish: A Comprehensive Grammar (Routledge Comprehensive Grammars),0415669251,9780415669252
Epocas y Avances: Lengua en su contexto cultural (with Audio CD),0300108362,9780300108361
"Electrical Level 3 Trainee Guide 2008 NEC, Paperback",0136044719,9780136044710
Ethical Theory and Business (8th Edition),0136126022,9780136126027
Conduct and Character: Readings in Moral Theory,0495502375,8581000022954
Ethics: A Contemporary Introduction (Routledge Contemporary Introductions to Philosophy),0415803888,9780415803885
"Living Issues in Philosophy, Ninth Edition",0195155092,9780195155099
Environmental Values (Routledge Introductions to Environment: Environment and Society Texts),0415145090,8589388888889
"WWD: 100 Years, 100 Designers",1609012526,9781609012526
Illustrated Encyclopedia of World Costume (Dover Fashion and Costumes),0486433803,9780486433806
Theory of Knowledge Third Edition,1471804151,9781471804151
Dickens' Oliver Twist (Cliffs Notes),0822009587,9780822009580
Wuthering Heights (Cliffs Notes),0822013932,9780822013938
The New Testament Cliffs Notes,0822008807,9780822008804
Plato's the Republic: Notes,0822011298,0049086011296
The Last of the Mohicans (Cliffs Notes),0822007177,0049086007176
Hill Country Houses: Inspired Living in a Legendary Texas Landscape,1580933785,9781580933780
The California House: Adobe. Craftsman. Victorian. Spanish Colonial Revival,0847835855,9780847835850
Handbook of Deontic Logic and Normative Systems,1848901321,9781848901322
Essentials of Symbolic Logic,1551118939,9781551118932
The Miniature Guide to Critical Thinking-Concepts and Tools (Thinker's Guide),0944583105,9780944583104
"Electrical Level 4 Trainee Guide, 2011 NEC Revision, Paperback (7th Edition) (Contren Learning)",0132569566,9780132569569
"The 8088 and 8086 Microprocessors: Programming, Interfacing, Software, Hardware, and Applications (4th Edition)",0130930814,9780130930811
Textiles: Basics and TFC Swatch Kit,0133055116,9780133055115
Shocking! The Art and Fashion of Elsa Schiaparelli,0300100663,9780300100662
The Purposeful Argument: A Practical Guide,1285438051,9781285438054
An Introduction to Philosophical Logic,0631199829,9780631199823
Advances in the Spoken-Language Development of Deaf and Hard-of-Hearing Children (Perspectives on Deafness),0195179870,9780195179873
Human Development Across the Lifespan,0072820578,9780072820577
Nature and Nurture: An Introduction to Human Behavioral Genetics,0534107680,9780534107680
Emotional Development: Recent Research Advances,0198528841,9780198528845
The Family and Individual Development (Routledge Classics) (Volume 35),0415402778,9780415402774
Quality Lighting for High Performance Buildings,1466501308,9781466501300
"Logical Self-Defense (Key Titles in Rhetoric, Argumentation, and Debates Series)",1932716181,9781932716184
The Oxford Handbook of Music Therapy (Oxford Handbooks),0199639752,9780199639755
The Cultural Origins of Human Cognition,0674000706,9780674000704
Child Development from birth to eight: A Journey through the early years.,0335220975,9780335220977
Blackwell Handbook of Infant Development (Wiley Blackwell Handbooks of Developmental Psychology),0631212345,9780631212348
Ventilation of Buildings,0415270561,9780415270564
Air Conditioning Principles and Systems (3rd Edition),0135053064,9780135053065
Geothermal HVAC,0071746102,9780071746106
"Thermal Computations for Electronics: Conductive, Radiative, and Convective Air Cooling",1439850178,9781439850176
Modern Refrigeration and Air Conditioning Laboratory Manual,1619602032,9781619602038
Introduction to Logic and to the Methodology of the Deductive Sciences (Oxford Logic Guides),019504472X,9780195044720
Structural Proof Theory,0521068428,9780521068420
Logic: An Introduction,1889439142,9781889439143
Readings for Logical Analysis (Second Edition),0393972143,9780393972146
The Nature of Mathematical Knowledge,0195035410,9780195035414
Logical Forms: An Introduction to Philosophical Logic,0631216790,9780631216797
An Introduction to Evolutionary Ethics,1405193964,9781405193962
Developmental Psychology: From Infancy to Adulthood (Introductory Psychology Series),0333669592,9780333669594
"Handbook of Competence and Motivation, Second Edition: Theory and Application",1462529607,9781462529605
Discovering the Life Span Plus NEW MyDevelopmentLab with eText -- Access Card Package (2nd Edition),0205216919,9780205216918
The Human Odyssey: Life-Span Development (with InfoTrac),0534363504,9780534363505
BLUEPRINTS+PLANS F/HVAC-TEXT,1285162536,9781285162539
Intelligent Buildings and Building Automation,0415475716,9780415475716
"The Aubin Academy Master Series: AutoCAD MEP: Compatible with 2012, 2013 and beyond",1479338974,9781479338979
"Handbook of Hydraulic Fluid Technology, Second Edition (Dekker Mechanical Engineering)",1420085263,9781420085266
NATEF Correlated Task Sheets for Automotive Heating and Air Conditioning (Professional Technician),0132540479,9780132540476
Philosophical Logic: An Introduction to Advanced Topics,1441119116,9781441119117
The Philosophy of Mathematics (Oxford Readings in Philosophy),0198751206,9780198751205
Logic in Games (The MIT Press),0262019906,9780262019903
Inconsistent Geometry (Studies in Logic),1848900228,9781848900226
What is this thing called Philosophy of Language?,0415517842,9780415517843
Schaum's Outline of Electrical Power Systems,0070459177,9780070459175
Sir Gawain and The Green Knight (Cliffs Notes),0822005158,0049086005158
Electronics Technology Fundamentals - Conventional Flow (2nd Edition),0131190849,9780131190849
Introductory Electronic Devices and Circuits: Electron Flow Version (7th Edition),0131716395,9780131716391
Programmable Logic Controllers with ControlLogix,1435419472,9781435419476
Practical Power Distribution for Industry (Practical Professional Books from Elsevier),0750663960,9780750663960
Pitt Cue Co. The Cookbook,184533907X,9781845339074
The Electricians Green Handbook (Go Green with Renewable Energy Resources),1111129800,9781111129804
International Dimensions of Organizational Behavior,0324360746,8601419576876
Noncognitivism in Ethics (New Problems of Philosophy),041577344X,9780415773447
"Economic Analysis, Moral Philosophy, and Public Policy",1316610888,9781316610886
Morality and Global Justice: Justifications and Applications,0813344328,9780813344324
Great Traditions in Ethics,0534626548,9780534626549
Metaethics: An Introduction,1844652580,9781844652587
Ethical Challenges to Business as Usual,0130487635,9780130487636
"¡Buen viaje!, Level 1, TEXAS Student Edition (Glencoe Spanish)",007866361X,9780078663611
Integrated Korean: Advanced Intermediate 2 (KLEAR Textbooks in Korean Language),0824825268,9780824825263
Exploraciones with Access Card,1305252470,9781305252479
Integrated Korean: Advanced Intermediate 1 (KLEAR Textbooks in Korean Language),0824825683,9780824825683
Design in Modular Construction,0415554500,9780415554503
"Managing Indoor Air Quality, Fifth Edition",1439870144,9781439870143
Industrial Air Quality and Ventilation: Controlling Dust Emissions,1482222167,9781482222166
Solid State Electronic Controls for Air Conditioning and Refrigeration,0138233608,9780138233600
Technical Guide to District Heating,1848061935,9781848061934
"Fashion: 150 Years  Couturiers, Designers, Labels",3848007630,9783848007639
Introduction to Logic (10th Edition),0132425874,9780132425872
"Three Views of Logic: Mathematics, Philosophy, and Computer Science",0691160449,9780691160443
Elements of Deductive Inference: An Introduction to Symbolic Logic,0534551211,9780534551216
"Wittgenstein, Part II: Exegesis Â§Â§428-693: Mind and Will: Volume 4 of an Analytical Commentary on the Philosophical Investigations",0631219870,9780631219873
The Prince and the Pauper (Cliffs Notes),0822010968,0785555011144
IB French B: Course Book: Oxford IB Diploma Program,0198390068,9780198390060
Candide (Cliffs Notes),0822002833,9780822002833
For Whom The Bell Tolls (Cliffs Notes),0822004976,0049086004977
The Diary of Anne Frank (Cliffs Notes),0822003902,9780822003908
Industrial Electronics,0023730234,9780023730238
Electrical Theory DC Interactive DVD (1-4),1439059888,9781439059883
Electrical Theory for Renewable Energy (Go Green with Renewable Energy Resources),113312755X,9781133127550
"Electrical Installation Calculations: Advanced, 8th ed",0415810035,8601300262918
Electrical Construction and Maintenance Techniques,0132471566,9780132471565
"Tools for Structured and Object-Oriented Design: An Introduction to Programming Logic, Sixth Edition",0130494984,9780130494986
Correctional Counseling and Rehabilitation,1455730084,9781455730087
Exploratory Factor Analysis (Understanding Statistics),0199734178,9780199734177
Foodservice Management: Principles and Practices (12th Edition),0135122163,9780135122167
Cengage Advantage Books: Ethics: Discovering Right and Wrong,0495502359,9780495502357
Moral Conflict: When Social Worlds Collide,0761900535,9780761900535
Everyday Morality: An Introduction to Applied Ethics,0495007080,9780495007081
Basic Ethics (2nd Edition),0136006558,9780136006558
The Art of Being Human: The Humanities as a Technique for Living (10th Edition),0205022472,9780205022472
"Golosa: A Basic Course in Russian, Book One (5th Edition)",0205741355,9780205741359
Integrated Chinese: Level 2 Textbook: Traditional and Simplified Character Edition,0887274803,9780887274800
Basics Made Easy Writing Review,1598071564,9781598071566
Research Methods: The Concise Knowledge Base,1592601464,9781592601462
CDL Exam Secrets - Passengers & School Bus Endorsements & CDL Practice Tests Study Guide: CDL Test Review for the Commercial Driver's License Exam,1609712870,9781609712877
Reading and Making Notes (Pocket Study Skills),113740258X,9781137402585
Write It: A Process Approach to College Essays with Readings,1465243941,9781465243942
Tino Zervudachi: A Portfolio,0983388962,9780983388968
Collage and Architecture,0415533279,9780415533270
Sustainable Fashion and Textiles: Design Journeys,0415644569,9780415644563
Do Not Disturb,0789201135,9780789201133
Transforming the Doctor's Office,0415840643,9780415840644
"Health, Sustainability and the Built Environment",1563675250,9781563675256
Sustainable Commercial Interiors,1118456297,9781118456293
Color Planning for Interiors: An Integrated Approach to Color in Designed Spaces,0470135425,9780470135426
Presentation Strategies and Dialogue,1609011449,9781609011444
Guide to Reliable Distributed Systems: Building High-Assurance Applications and Cloud-Hosted Services (Texts in Computer Science),1447124154,9781447124153
Control Techniques for Complex Networks,0521884411,9780521884419
Abridged History of World Costume and Fashion,0131963678,9780131963672
Fundamentals of Merchandising Math and Retail Buying Plus MyFashionKit -- Access Card Package (Fashion Series),0133075761,9780133075762
Dress and Morality,185973782X,9781859737828
The Fashion Reader,184788590X,9781847885906
Homer's Iliad (Cliffs Notes),0822006456,9780822006459
Schaum's Outline of Descriptive Geometry (Schaum's),0070272905,9780070272903
The Good Earth (Cliffs Notes),0822005352,0049086005356
"Addressing Cultural Complexities in Practice: Assessment, Diagnosis, and Therapy",1433802198,9781433802195
Community Psychology,0205255620,9780205255627
Dignity: Its Essential Role in Resolving Conflict,0300188056,9780300188059
Human Groups and Social Categories: Studies in Social Psychology,0521280737,9780521280730
Cengage Advantage Books: Conducting Research in Psychology: Measuring the Weight of Smoke,1133588050,9781133588054
Are We Free? Psychology and Free Will,0195189639,9780195189636
Psychology of the Media (Palgrave Insights in Psychology Series),0230249868,9780230249868
Social Beings: Core Motives in Social Psychology,0470129115,9780470129111
An Introduction to the Geography of Tourism,1442271086,9781442271081
Catering Management,1118091493,9781118091494
Customer Service in Tourism and Hospitality,1908999349,9781908999344
"Ethical Leadership and Decision Making in Education: Applying Theoretical Perspectives to Complex Dilemmas, Third Edition",0415874599,9780415874595
Applying Moral Theories,0495007056,9780495007050
Beginner's Persian (Iranian Persian Farsi) with 2 Audio CDs (Hippocrene Beginner's),0781812747,9780781812740
Puntos Textbook + V1 Wk/LM (printed) + V2 WK/LM (printed) + Connect Spanish(no wb/lm but does include ebook and LearnSmart),0077606302,9780077606305
Puntos (Student Edition) Standalone Book,0073534498,9780073534497
"Oxford Latin Course, Part II, Second Edition",0195212053,9780195212051
Wadsworth College Reading Series: Book 2,1111839417,9781111839413
"Speed Writing Skills Training Course: Speedwriting for Faster Note Taking and Dictation, an Alternative to Shorthand to Help You Take Notes. Easy Exer",1849370117,9781849370110
Leading Lesson Study: A Practical Guide for Teachers and Facilitators,1412939887,9781412939881
Novel Interiors: Living in Enchanted Rooms Inspired by Literature,0385345992,9780385345996
Chinese Sculpture,0300100655,9780300100655
Lighting for Interior Design (Portfolio Skills),185669836X,9781856698368
Studio Companion Series Presentation Basics,1609011015,9781609011017
Paul T. Frankl and Modern American Design,0300121024,9780300121025
Practical Packet Analysis: Using Wireshark to Solve Real-World Network Problems,1593272669,0689145726695
Programming Fundamentals Using Java: A Game Application Approach (Computer Science),1938549767,9781938549762
Network Design Cookbook: Architecting Cisco Networks,1257750240,9781257750245
Identity: Sociological Perspectives,0745654169,9780745654164
Political Psychology: Key Readings (Key Readings in Social Psychology),1841690708,9781841690704
Media Psychology,0230279201,9780230279209
Taking Sides: Clashing Views on Psychological Issues,1259910741,9781259910746
"Mitlesen Mitteilen: Literarische Texte zum Lesen, Sprechen, Schreiben und Hören (with Audio CD) (World Languages)",1413029434,9781413029437
ManageFirst: Hospitality and Restaurant Management w/Online Testing Voucher (2nd Edition) (Managefirst Program),0132724472,8601400067147
ManageFirst: Hospitality & Restaurant Marketing with Online Test Voucher (2nd Edition),0133052540,9780133052541
"Tourism Geography: Critical Understandings of Place, Space and Experience",041585444X,9780415854443
"Contemporary Topics 2: Academic Listening and Note-Taking Skills, Teacher's Pack (3rd Edition)",0136005152,9780136005155
Making Sense of Statistics: A Non-Mathematical Approach (Palgrave Study Skills),1403901074,9781403901071
Professional Writing (Palgrave Study Skills),1137309016,9781137309013
Cliffs Memory Power for Exams (Test preparation guides),0822020203,9780822020202
Computer Applications for Real Estate (California Real Estate),0324191480,9780324191486
Parallel Programming: Techniques and Applications Using Networked Workstations and Parallel Computers (2nd Edition),0131405632,9780131405639
Wireless Networking: Understanding Internetworking Challenges,1118122380,9781118122389
Cisco Networking Simplified (2nd Edition),1587201992,9781587201998
Let's Talk Student's Book 1 with Self-Study Audio CD,0521692814,9780521692816
"Panorama: Intermediate Russian Language and Culture, Student Bundle: Book + Electronic Workbook Access Card",1626164711,9781626164710
Second Language Learning and Language Teaching: Fifth Edition,0415713803,9780415713801
"Stationen, 3rd Edition (World Languages)",1285733827,9781285733821
German Grammar in Context (Languages in Context) (German Edition),144416726X,9781444167269
"Food, Cuisine, And Cultural Competency For Culinary, Hospitality, And Nutrition Professionals",0763759651,9780763759650
Research Methods in Physical Education and Youth Sport,0415618851,9780415618854
GETTING SMARTER STUDY SKILLS IMPROV,0822433869,9780822433866
United States 1917-2008 (Flagship History),000726870X,9780007268702
Voces de Espana: Antologia literaria (Spanish Edition),0759396663,9780759396661
Russian: From Intermediate to Advanced,0415712270,9780415712279
Fundamentals of New Testament Greek (English and Greek Edition),0802828272,9780802828279
"The Everything Learning Russian Book with CD: Speak, write, and understand Russian in no time!",1598693875,0045079903876
Salve! (World Languages),0495907774,9780495907770
Let's Talk Level 3 Student's Book with Self-study Audio CD (Let's Talk (Cambridge)),0521692873,9780521692878
Thinking French Translation (Thinking Translation),0415255228,9780415255226
Special Event Production: The Process (Volume 2),1138785652,9781138785656
Nonlinear Dynamics: Techniques and Applications in Psychology,0805832009,9780805832006
Mathematics and Scientific Representation (Oxford Studies in the Philosophy of Science),0190201398,9780190201395
Technology Strategies for the Hospitality Industry (2nd Edition),0135038022,9780135038024
Fashion Brand Merchandising,1563675617,9781563675614
Events Management: Principles and Practice,1473948282,9781473948280
Heritage Tourism,0415595835,9780415595834
Strategic Hospitality Human Resources Management,0135087058,9780135087053
The After-school Lives of Children: Alone and With Others While Parents Work,0805823255,9780805823257
"Mathematical Studies of Information Processing: Proceedings of the International Conference, Kyoto, Japan, August 23-26, 1978 (Lecture Notes in Computer Science)",3540095411,9783540095415
CREATE COLLECTION ONLY Taking Sides: Clashing Views in Childhood and Society,0078128579,9780078128578
Fundamentals of Developmental Psychology,1848720505,9781848720503
"Lying, Cheating, and Carrying On: Developmental, Clinical, and Sociocultural Aspects of Dishonesty and Deceit (Margaret S. Mahler)",0765706024,9780765706027
Collected Works: Volume I: Publications 1929-1936 (Kurt Godel Collected Works),0195039645,9780195039641
An Introduction to Substructural Logics,041521534X,9780415215343
"Computability: Computable Functions, Logic, and the Foundations of Mathematics",098155072X,9780981550725
The Provenance of Pure Reason: Essays in the Philosophy of Mathematics and Its History (Logic and Computation in Philosophy),019514192X,9780195141924
Diagonalization and Self-Reference (Oxford Logic Guides),0198534507,9780198534501
Worldwide Destinations: The geography of travel and tourism (Volume 1),1138901814,9781138901810
"Introduction to Revenue Management for the Hospitality Industry: Principles and Practices for the Real World, An",0131885898,9780131885899
Supervision in the Hospitality Industry,1118071786,9781118071786
Marketing in Leisure and Tourism: Reaching New Heights,1892132656,9781892132659
Schaum's Outline of Engineering Mechanics Dynamics (Schaum's Outlines),0071713603,9780071713603
Cengage Advantage Books: Psychology: Concepts and Connections (with CD-ROM and InfoTrac) (Advantage Series:),0534633056,9780534633059
Understanding Networked Applications: A First Course (The Morgan Kaufmann Series in Networking),1558605371,9781558605374
A Course in Mathematical Logic for Mathematicians (Graduate Texts in Mathematics),1441906142,9781441906144
"Socratic Logic 3e: A Logic Text Using Socratic Method, Platonic Questions, and Aristotelian Principles",1587318059,9781587318054
"Argumentation: Understanding and Shaping Arguments, third edition",1891136178,9781891136177
The Reason's Proper Study: Essays towards a Neo-Fregean Philosophy of Mathematics,0199266328,9780199266326
Critical Thinking and Language: The Challenge of Generic Skills and Disciplinary Discourses,0567157733,9780567157737
